time, ,cellnumber
0,00,1
60,00,1
120,00,1
180,00,1
240,00,1
300,00,1
360,00,1
420,00,1
480,00,2
540,00,2
600,00,2
660,00,2
720,00,2
780,00,2
840,00,2
900,00,2
960,00,2
1020,00,2
1080,00,2
1140,00,2
1200,00,2
1260,00,2
1320,00,2
1380,00,2
1440,00,2
1500,00,2
1560,00,2
1620,00,2
1680,00,2
1740,00,2
1800,00,2
1860,00,2
1920,00,2
1980,00,2
2040,00,2
2100,00,2
2160,00,2
2220,00,2
2280,00,2
2340,00,2
2400,00,2
2460,00,2
2520,00,2
2580,00,2
2640,00,2
2700,00,2
2760,00,2
2820,00,2
2880,00,2
2940,00,2
3000,00,2
3060,00,2
3120,00,2
3180,00,2
3240,00,2
3300,00,2
3360,00,2
3420,00,2
3480,00,2
3540,00,2
3600,00,2
3660,00,2
3720,00,2
3780,00,2
3840,00,2
3900,00,2
3960,00,2
