time, ,tra(0),tra(1),tra(2),tra(3),tra(4),tra(5),tra(6),tra(7),tra(8),tra(9),tra(10),tra(11),tra(12),tra(13),tra(14),tra(15),tra(16),tra(17),tra(18),tra(19),tra(20),tra(21)
0,00,179.1978,5220.1,0,842.3908,33.8908,5220.1,33.8908,0,0,0,0,0,4.6259,4.6259,129770,0,64.5686,114.9764,0,12.4457,7.5933,1.1787
60,00,180.4337,5256,0,848.1633,34.1256,5256,34.1256,0,0,0,0,0,4.6552,4.6552,130660,0,65.0139,115.6974,0,12.5243,7.6501,1.1868
120,00,181.6782,5292.1,0,853.9763,34.362,5292.1,34.362,0,0,0,0,0,4.685,4.685,131560,0,65.46,116.4293,0,12.604,7.7067,1.195
180,00,182.9312,5328.5,0,859.8297,34.6,5328.5,34.6,0,0,0,0,0,4.7152,4.7152,132460,0,65.9105,117.1717,0,12.6849,7.7634,1.2032
240,00,184.1929,5365.1,0,865.7241,34.8396,5365.1,34.8396,0,0,0,0,0,4.7458,4.7458,133370,0,66.3619,117.9241,0,12.7668,7.82,1.2115
300,00,185.4632,5402,0,871.6594,35.0809,5402,35.0809,0,0,0,0,0,4.7768,4.7768,134290,0,66.8177,118.6862,0,12.8498,7.8768,1.2198
360,00,186.7424,5439.1,0,877.6358,35.3238,5439.1,35.3238,0,0,0,0,0,4.8082,4.8082,135210,0,67.2782,119.458,0,12.9338,7.9339,1.2282
420,00,188.0303,5476.5,0,883.6541,35.5684,5476.5,35.5684,0,0,0,0,0,4.8399,4.8399,136140,0.000000000000000001,67.7394,120.2385,0,13.0188,7.9909,1.2367
480,00,189.3271,5514.1,0,889.7141,35.8146,5514.1,35.8146,0,0,0,0,0,4.872,4.872,137070,0.000000000000000001,68.2052,121.0279,0,13.1048,8.0482,1.2452
540,00,190.6328,5552,0,895.8164,36.0625,5552,36.0625,0,0,0,0,0,4.9044,4.9044,138010,0.000000000000000001,68.6717,121.8255,0,13.1916,8.1054,1.2537
600,00,191.9474,5590.2,0,901.9609,36.3121,5590.2,36.3121,0,0,0,0,0,4.9372,4.9372,138960,0.000000000000000001,69.1428,122.6316,0,13.2794,8.163,1.2623
